tweet_id,text,location,date
1629999543092940800,@dave_winx @RepMTG Another Spanish Flu?,"Moscow, ID",2023-02-27
1629999007463358464,"VEHICLE STOLEN - COLD at 4200 SE WOODSTOCK BLVD, PORT [Portland Police #PP23000052335] 14:58 #pdx911","Portland, OR",2023-02-27
1629998765464510467,Houston gonna win that XFL title. Wade Phillips ain’t out here for fun,"Columbus, OH",2023-02-27
1629998578956476416,No way I’ve had a stuffy nose for a week,"Austin, TX",2023-02-27
1629998365181181952,why is 65° (outside) nice but 65° (inside) is cold,"Papillion, NE",2023-02-27
1629998254145560578,"ACCIDENT - HIT AND RUN - COLD at 800 NW WALLULA AVE, GRSM [Gresham Police #PG23000008096] 15:57 #pdx911","Gresham, OR",2023-02-27
1629998140035334144,"Go, Darwin--that is cold, too true. https://t.co/SEz96Ip3OH","San Francisco, CA",2023-02-27
1629997745997250561,Nothing like a double espresso against the cold. That is all.,"San Jose, CA",2023-02-27
1629997348524023809,Today was the first day it hasn't been freezing cold (for this spoiled California girl) enough to wear a dress outs… https://t.co/GzoTELlmGj,"Mission Viejo, CA",2023-02-27
1629997094663536640,It’s the kind of day I eat a whole cold chunk of tofu for lunch https://t.co/YCxPG2Be67,"Staten Island, NY",2023-02-27
1629996993262256132,"THEFT - COLD at 22500 SE STARK ST, GRSM [Gresham Police #PG23000008084] 13:57 #pdx911","Gresham, OR",2023-02-27
1629996814177824769,Retail therapy &amp; cold brew make things better.,"Nashville, TN",2023-02-27
1629996494572109824,"VEHICLE STOLEN - COLD at 1900 SW 16TH AVE, PORT [Portland Police #PP23000052366] 15:26 #pdx911","Portland, OR",2023-02-27
1629996491900334080,"THEFT - COLD at 2000 N KILPATRICK ST, PORT [Portland Police #PP23000052376] 15:49 #pdx911","Portland, OR",2023-02-27
1629996155143864321,@thanef67 I loathe the cold. If I could hibernate during the winter I would.,"Albuquerque, NM",2023-02-27
1629995551000342532,"Penn State going slightly cold, 26-11 seems big but a bad final five to the half could sink good work.","Northfield, MN",2023-02-27
1629994993782861825,This girl is ABSOLUTELY COLD BLOODED!!! https://t.co/MIkfKBqUPv,"Cinco Ranch, TX",2023-02-27
1629994731819216897,"VEHICLE STOLEN - COLD at 4100 NE MARTIN LUTHER KING JR BLVD, PORT [Portland Police #PP23000052358] 15:14 #pdx911","Portland, OR",2023-02-27
